date,normalized_merchant,merchant_name,amount,currency,category,is_refund,is_anomaly,anomaly_reason
2017-01-12,C834976624,C834976624,330218.42,USD,CASH_IN,False,False,
2017-01-01,M215391829,M215391829,11647.08,USD,PAYMENT,False,False,
2017-01-01,C1607284477,C1607284477,152264.21,USD,CASH_IN,False,False,
2017-01-09,C1091768874,C1091768874,78172.30,USD,CASH_IN,False,False,
2017-01-11,M290849763,M290849763,915.13,USD,PAYMENT,False,False,
2017-01-08,C823291717,C823291717,20603.87,USD,CASH_OUT,False,False,
2017-01-06,C618657299,C618657299,58605.72,USD,CASH_OUT,False,False,
2017-01-10,M623175144,M623175144,4865.11,USD,PAYMENT,False,False,
2017-01-23,C366360355,C366360355,118131.63,USD,CASH_OUT,False,False,
2017-01-02,C409578677,C409578677,141100.88,USD,CASH_OUT,False,False,
2017-01-07,C379896225,C379896225,384177.48,USD,CASH_OUT,False,False,
2017-01-09,C1302281681,C1302281681,153486.36,USD,CASH_OUT,False,False,
2017-01-13,C705120650,C705120650,51042.59,USD,CASH_OUT,False,False,
2017-01-01,M487081598,M487081598,48691.16,USD,PAYMENT,False,False,
2017-01-14,M969218364,M969218364,36598.65,USD,PAYMENT,False,False,
2017-01-07,C579157353,C579157353,124443.29,USD,CASH_OUT,False,False,
2017-01-06,C718731643,C718731643,510190.97,USD,CASH_OUT,False,False,
2017-01-11,C1178934515,C1178934515,940927.27,USD,TRANSFER,False,False,
2017-01-06,C1531623971,C1531623971,240156.34,USD,CASH_OUT,False,False,
2017-01-12,C526046232,C526046232,44360.26,USD,CASH_OUT,False,False,
2017-01-02,C75671301,C75671301,338458.24,USD,CASH_OUT,False,False,
2017-01-27,C786997986,C786997986,311748.24,USD,CASH_IN,False,False,
2017-01-07,C1308477441,C1308477441,151.58,USD,DEBIT,False,False,
2017-01-14,M1330826048,M1330826048,26565.95,USD,PAYMENT,False,False,
2017-01-06,C1885613878,C1885613878,6.57,USD,CASH_OUT,False,False,
2017-01-02,C212080696,C212080696,23898.77,USD,CASH_IN,False,False,
2017-01-01,C598132143,C598132143,26360.78,USD,CASH_OUT,False,False,
2017-01-07,C1163988187,C1163988187,192935.20,USD,CASH_IN,False,False,
2017-01-17,C1418884586,C1418884586,18801.43,USD,TRANSFER,False,False,
2017-01-10,M2117267163,M2117267163,3516.08,USD,PAYMENT,False,False,
2017-01-15,M1751641542,M1751641542,6987.80,USD,PAYMENT,False,False,
2017-01-01,C645140627,C645140627,8808.73,USD,CASH_IN,False,False,
2017-01-09,M1059671726,M1059671726,24649.07,USD,PAYMENT,False,False,
2017-01-14,C1975390043,C1975390043,97562.73,USD,CASH_OUT,False,False,
2017-01-06,C956338890,C956338890,598680.17,USD,TRANSFER,False,False,
2017-01-13,C1971781194,C1971781194,218659.82,USD,CASH_OUT,False,False,
2017-01-29,C1327824794,C1327824794,304408.97,USD,CASH_IN,False,False,
2017-01-06,M839389189,M839389189,5090.28,USD,PAYMENT,False,False,
2017-01-10,C358043414,C358043414,176016.04,USD,CASH_OUT,False,False,
2017-01-09,M1504624467,M1504624467,11605.70,USD,PAYMENT,False,False,
2017-01-01,C1216254870,C1216254870,234850.43,USD,CASH_IN,False,False,
2017-01-14,C1714837024,C1714837024,186549.79,USD,CASH_OUT,False,False,
2017-01-10,C1654662784,C1654662784,79042.15,USD,CASH_OUT,False,False,
2017-01-06,M1717055694,M1717055694,5055.72,USD,PAYMENT,False,False,
2017-01-02,M1043686153,M1043686153,12020.77,USD,PAYMENT,False,False,
2017-01-17,C787242927,C787242927,123326.84,USD,CASH_IN,False,False,
2017-01-06,M77882578,M77882578,14241.21,USD,PAYMENT,False,False,
2017-01-16,M933507080,M933507080,23480.16,USD,PAYMENT,False,False,
2017-01-08,C1021587874,C1021587874,195205.19,USD,CASH_IN,False,False,
2017-01-23,C95318372,C95318372,145319.54,USD,CASH_OUT,False,False,
2017-01-16,M946866772,M946866772,14270.03,USD,PAYMENT,False,False,
2017-01-12,M1348761534,M1348761534,6851.17,USD,PAYMENT,False,False,
2017-01-17,C148906605,C148906605,296959.67,USD,CASH_IN,False,False,
2017-01-13,C704312950,C704312950,166630.90,USD,CASH_IN,False,False,
2017-01-07,C788874634,C788874634,165135.41,USD,CASH_IN,False,False,
