date,normalized_merchant,merchant_name,amount,currency,category,is_refund,is_anomaly,anomaly_reason
2017-01-12,Unknown_merchant,UNKNOWN_MERCHANT,330218.42,USD,CASH_IN,False,False,
2017-01-01,Unknown_merchant,UNKNOWN_MERCHANT,11647.08,USD,PAYMENT,False,False,
2017-01-01,Unknown_merchant,UNKNOWN_MERCHANT,152264.21,USD,CASH_IN,False,False,
2017-01-09,Unknown_merchant,UNKNOWN_MERCHANT,78172.30,USD,CASH_IN,False,False,
2017-01-11,Unknown_merchant,UNKNOWN_MERCHANT,915.13,USD,PAYMENT,False,False,
2017-01-08,Unknown_merchant,UNKNOWN_MERCHANT,20603.87,USD,CASH_OUT,False,False,
2017-01-06,Unknown_merchant,UNKNOWN_MERCHANT,58605.72,USD,CASH_OUT,False,False,
2017-01-10,Unknown_merchant,UNKNOWN_MERCHANT,4865.11,USD,PAYMENT,False,False,
2017-01-23,Unknown_merchant,UNKNOWN_MERCHANT,118131.63,USD,CASH_OUT,False,False,
2017-01-02,Unknown_merchant,UNKNOWN_MERCHANT,141100.88,USD,CASH_OUT,False,False,
2017-01-07,Unknown_merchant,UNKNOWN_MERCHANT,384177.48,USD,CASH_OUT,False,False,
2017-01-09,Unknown_merchant,UNKNOWN_MERCHANT,153486.36,USD,CASH_OUT,False,False,
2017-01-13,Unknown_merchant,UNKNOWN_MERCHANT,51042.59,USD,CASH_OUT,False,False,
2017-01-01,Unknown_merchant,UNKNOWN_MERCHANT,48691.16,USD,PAYMENT,False,False,
2017-01-14,Unknown_merchant,UNKNOWN_MERCHANT,36598.65,USD,PAYMENT,False,False,
2017-01-07,Unknown_merchant,UNKNOWN_MERCHANT,124443.29,USD,CASH_OUT,False,False,
2017-01-06,Unknown_merchant,UNKNOWN_MERCHANT,510190.97,USD,CASH_OUT,False,False,
2017-01-11,Unknown_merchant,UNKNOWN_MERCHANT,940927.27,USD,TRANSFER,False,False,
2017-01-06,Unknown_merchant,UNKNOWN_MERCHANT,240156.34,USD,CASH_OUT,False,False,
2017-01-12,Unknown_merchant,UNKNOWN_MERCHANT,44360.26,USD,CASH_OUT,False,False,
2017-01-02,Unknown_merchant,UNKNOWN_MERCHANT,338458.24,USD,CASH_OUT,False,False,
2017-01-27,Unknown_merchant,UNKNOWN_MERCHANT,311748.24,USD,CASH_IN,False,False,
2017-01-07,Unknown_merchant,UNKNOWN_MERCHANT,151.58,USD,DEBIT,False,False,
2017-01-14,Unknown_merchant,UNKNOWN_MERCHANT,26565.95,USD,PAYMENT,False,False,
2017-01-06,Unknown_merchant,UNKNOWN_MERCHANT,6.57,USD,CASH_OUT,False,False,
2017-01-02,Unknown_merchant,UNKNOWN_MERCHANT,23898.77,USD,CASH_IN,False,False,
2017-01-01,Unknown_merchant,UNKNOWN_MERCHANT,26360.78,USD,CASH_OUT,False,False,
