Date,Merchant,Amount,Category
2017-01-12,C834976624,330218.42,CASH_IN
2017-01-01,M215391829,11647.08,PAYMENT
2017-01-01,C1607284477,152264.21,CASH_IN
2017-01-17,C1564353608,1551760.63,TRANSFER
2017-01-09,C1091768874,78172.3,CASH_IN
2017-01-11,M290849763,915.13,PAYMENT
2017-01-08,C823291717,20603.87,CASH_OUT
2017-01-06,C618657299,58605.72,CASH_OUT
2017-01-10,M623175144,4865.11,PAYMENT
2017-01-23,C366360355,118131.63,CASH_OUT
2017-01-02,C409578677,141100.88,CASH_OUT
2017-01-07,C379896225,384177.48,CASH_OUT
2017-01-09,C1302281681,153486.36,CASH_OUT
2017-01-13,C705120650,51042.59,CASH_OUT
2017-01-01,M487081598,48691.16,PAYMENT
2017-01-14,M969218364,36598.65,PAYMENT
2017-01-07,C579157353,124443.29,CASH_OUT
2017-01-06,C718731643,510190.97,CASH_OUT
2017-01-11,C1178934515,940927.27,TRANSFER
2017-01-06,C1531623971,240156.34,CASH_OUT
2017-01-12,C526046232,44360.26,CASH_OUT
2017-01-02,C75671301,338458.24,CASH_OUT
2017-01-27,C786997986,311748.24,CASH_IN
2017-01-07,C1308477441,151.58,DEBIT
2017-01-14,M1330826048,26565.95,PAYMENT
2017-01-06,C1885613878,6.57,CASH_OUT
2017-01-02,C212080696,23898.77,CASH_IN
2017-01-01,C598132143,26360.78,CASH_OUT
2017-01-07,C1163988187,192935.2,CASH_IN
2017-01-17,C1418884586,18801.43,TRANSFER
2017-01-10,M2117267163,3516.08,PAYMENT
2017-01-15,M1751641542,6987.8,PAYMENT
2017-01-01,C645140627,8808.73,CASH_IN
2017-01-09,M1059671726,24649.07,PAYMENT
2017-01-14,C1975390043,97562.73,CASH_OUT
2017-01-06,C956338890,598680.17,TRANSFER
2017-01-13,C1971781194,218659.82,CASH_OUT
2017-01-29,C1327824794,304408.97,CASH_IN
2017-01-06,M839389189,5090.28,PAYMENT
2017-01-10,C358043414,176016.04,CASH_OUT
2017-01-09,M1504624467,11605.7,PAYMENT
2017-01-01,C1216254870,234850.43,CASH_IN
2017-01-14,C1714837024,186549.79,CASH_OUT
2017-01-10,C1654662784,79042.15,CASH_OUT
2017-01-06,M1717055694,5055.72,PAYMENT
2017-01-02,M1043686153,12020.77,PAYMENT
2017-01-17,C787242927,123326.84,CASH_IN
2017-01-06,M77882578,14241.21,PAYMENT
2017-01-16,M933507080,23480.16,PAYMENT
2017-01-08,C1021587874,195205.19,CASH_IN
2017-01-23,C95318372,145319.54,CASH_OUT
2017-01-16,M946866772,14270.03,PAYMENT
2017-01-12,M1348761534,6851.17,PAYMENT
2017-01-17,C148906605,296959.67,CASH_IN
2017-01-13,C704312950,166630.9,CASH_IN
2017-01-07,C788874634,165135.41,CASH_IN
2017-01-13,M1951402325,1704.03,PAYMENT
2017-01-01,C860929789,390903.09,CASH_IN
2017-01-10,M1653653617,21061.24,PAYMENT
2017-01-11,M182944108,8129.46,PAYMENT
2017-01-10,M533921438,6492.32,PAYMENT
2017-01-13,C160609026,16242.22,CASH_OUT
2017-01-15,C1563899518,286864.49,CASH_OUT
2017-01-06,C508488713,147351.57,CASH_IN
2017-01-10,C1554823726,21362.19,TRANSFER
2017-01-08,M1183610480,16871.75,PAYMENT
2017-01-17,C1084012188,88826.43,CASH_OUT
2017-01-20,M1265795703,38509.2,PAYMENT
2017-01-17,M1684201690,7301.4,PAYMENT
2017-01-13,M1955312313,51907.16,PAYMENT
2017-01-09,M301320628,343.06,PAYMENT
2017-01-10,C1938475526,24413.46,CASH_OUT
2017-01-09,C779506402,125568.72,CASH_OUT
2017-01-01,C1015529677,203321.66,CASH_OUT
2017-01-12,M1996394103,7452.27,PAYMENT
2017-01-16,C2142547587,117253.94,CASH_IN
2017-01-07,C914957636,16500.28,CASH_OUT
2017-01-14,M849428673,25380.11,PAYMENT
2017-01-10,C1337597412,95623.45,CASH_OUT
2017-01-17,C1995332832,122899.15,CASH_IN
2017-01-16,C87426661,255661.72,CASH_IN
2017-01-13,C408688303,124210.26,CASH_OUT
2017-01-02,C1477190619,406390.63,TRANSFER
2017-01-17,C748382555,12747.45,CASH_IN
2017-01-02,M1250735899,17210.24,PAYMENT
2017-01-17,C1034690288,287548.26,CASH_IN
2017-01-11,C809795627,326712.9,CASH_IN
2017-01-10,M870078784,241.89,PAYMENT
2017-01-10,M1022031461,5883.37,PAYMENT
2017-01-13,M956027336,13055.28,PAYMENT
2017-01-01,M1942028884,616.88,PAYMENT
2017-01-10,C1403087041,107759.5,CASH_OUT
2017-01-11,C1761313958,18868.29,CASH_IN
2017-01-01,M1124177815,4986.63,PAYMENT
2017-01-02,M743266449,17692.64,PAYMENT
2017-01-17,M2079068430,7457.89,PAYMENT
2017-01-13,C1097907228,2262.52,DEBIT
2017-01-24,C170358894,67418.91,CASH_IN
2017-01-11,M210283336,9414.76,PAYMENT
2017-01-09,M981647331,17485.51,PAYMENT
2017-01-08,C106303416,43115.41,CASH_IN
2017-01-08,M369555754,1408.77,PAYMENT
2017-01-08,C685696333,251225.77,CASH_OUT
2017-01-08,C1961399086,329093.01,CASH_OUT
2017-01-01,C34949923,111900.86,CASH_OUT
2017-01-15,M1756029493,11348.41,PAYMENT
2017-01-09,M926772394,2249.75,PAYMENT
2017-01-08,C1151286694,339983.69,CASH_OUT
2017-01-01,M1819638608,22006.91,PAYMENT
2017-01-11,M157710685,16964.15,PAYMENT
2017-01-02,C2085899258,125132.6,TRANSFER
2017-01-23,C792102955,20450.59,CASH_OUT
2017-01-02,C99867722,124651.74,CASH_IN
2017-01-11,M976098062,7443.29,PAYMENT
2017-01-02,M1530543057,18520.37,PAYMENT
2017-01-14,C1643218906,240938.14,CASH_OUT
2017-01-01,M1348049534,5000.93,PAYMENT
2017-01-17,M118328816,1375.93,PAYMENT
2017-01-06,M1595492079,9387.6,PAYMENT
2017-01-09,C1689033792,304736.65,CASH_OUT
2017-01-12,C1782776914,154063.93,CASH_IN
2017-01-01,C102218247,413032.46,CASH_IN
2017-01-08,C261821285,290132.99,CASH_OUT
2017-01-14,C897735701,1086782.27,TRANSFER
2017-01-08,C174532841,258677.34,CASH_OUT
2017-01-14,M906983781,680.96,PAYMENT
2017-01-12,C1990457749,142803.7,CASH_IN
2017-01-10,C1478898162,404013.26,CASH_OUT
2017-01-08,M300922993,4192.45,PAYMENT
2017-01-02,M702530586,6865.83,PAYMENT
2017-01-07,C1875697706,199096.88,CASH_OUT
2017-01-08,C903132886,40105.0,CASH_IN
2017-01-17,M1003264751,29753.14,PAYMENT
2017-01-02,C41102216,37005.75,CASH_OUT
2017-01-09,C1489116061,658510.65,TRANSFER
2017-01-15,M400743766,14962.54,PAYMENT
2017-01-09,C1676533255,115930.12,CASH_IN
2017-01-12,C1891518808,205453.92,CASH_OUT
2017-01-07,M1530234511,8548.76,PAYMENT
2017-01-22,C1724208100,1958230.6,TRANSFER
2017-01-10,C700950869,168377.94,CASH_OUT
2017-01-11,C651806736,142011.88,CASH_IN
2017-01-13,M1298362179,7803.55,PAYMENT
2017-01-16,C145807878,261090.52,CASH_IN
2017-01-09,C1394009782,185642.4,CASH_OUT
2017-01-15,M1882783306,22673.48,PAYMENT
2017-01-11,C1996805903,318180.66,CASH_OUT
2017-01-07,M1471767414,1416.71,PAYMENT
2017-01-09,M1610300123,8941.05,PAYMENT
2017-01-15,C1109678983,103884.78,CASH_OUT
2017-01-07,M716959429,1412.48,PAYMENT
2017-01-10,C1957675734,93940.35,CASH_IN
2017-01-14,M227579288,15039.71,PAYMENT
2017-01-16,M1295606785,10424.44,PAYMENT
2017-01-10,C262891082,33530.31,CASH_IN
2017-01-17,M888843538,7328.72,PAYMENT
2017-01-24,C1886475823,18593.97,CASH_IN
2017-01-06,C353782565,111540.89,CASH_IN
2017-01-14,M1230436756,16769.79,PAYMENT
2017-01-01,M563268470,7858.1,PAYMENT
2017-01-13,C1515536749,292037.17,TRANSFER
2017-01-11,C822214416,63982.69,TRANSFER
2017-01-15,C472295300,153216.34,CASH_IN
2017-01-07,M1953778756,3170.83,PAYMENT
2017-01-01,C1073161843,107313.94,CASH_OUT
2017-01-09,C410567421,134328.08,CASH_OUT
2017-01-01,M1177905091,10446.68,PAYMENT
2017-01-14,C1384939011,214059.76,CASH_OUT
2017-01-13,C892045919,313733.83,CASH_IN
2017-01-15,C1737895165,22200.81,CASH_IN
2017-01-01,C1786396642,178217.38,CASH_OUT
2017-01-10,C179208025,220486.58,CASH_OUT
2017-01-17,C136356616,875213.55,TRANSFER
2017-01-01,M961418448,14459.22,PAYMENT
2017-01-10,C907487997,121422.39,CASH_OUT
2017-01-07,C2073353441,39590.21,CASH_OUT
2017-01-13,C1264872013,273339.15,CASH_OUT
2017-01-01,C271588719,77253.21,CASH_OUT
2017-01-01,C237467600,74190.1,CASH_OUT
2017-01-11,C980072701,231641.71,CASH_OUT
2017-01-08,C2058567676,35269.59,CASH_IN
2017-01-09,C57541900,95024.86,CASH_OUT
2017-01-13,C27127579,386023.54,CASH_OUT
2017-01-09,C463376666,116135.75,CASH_IN
2017-01-14,C1335226346,212884.77,CASH_OUT
2017-01-06,C1895269207,305973.1,CASH_IN
2017-01-04,C1880058411,162920.46,CASH_IN
2017-01-16,C1665448501,255955.77,CASH_OUT
2017-01-11,M1313111844,4987.09,PAYMENT
2017-01-02,C1117382784,107141.17,CASH_OUT
2017-01-07,C2146730126,45301.79,CASH_OUT
2017-01-10,C280794150,115712.36,TRANSFER
2017-01-28,M1449664957,5220.64,PAYMENT
2017-01-16,C1383678621,91206.28,CASH_IN
2017-01-13,M1309446387,20936.47,PAYMENT
2017-01-08,C550754064,173655.13,CASH_OUT
2017-01-14,C2059762056,218540.35,CASH_OUT
2017-01-02,C1908106443,440759.52,CASH_OUT
