 Date ,Merchant Name,Amount  ,Category
2023-01-15,AMAZON.COM,$45.99,Shopping
2023-01-16,Starbucks,5.50,Food
"Jan 17th, 2023",UBER *TRIP,$12.30,Transportation
01/18/2023,Uber Technologies,USD 15.75,Transportation
2023.01.19,UBER EATS,  $28.50  ,Food
18-Jan-23,uber,22.00,Transportation
2023-01-20,AMZN Mktp US*2X3Y4Z,$67.89,Shopping
2023-01-21,Amazon Web Services,0.99,Technology
2023-01-22,AMZ*Amazon.com,$ 123.45,Shopping
2023-01-23,Whole Foods,-10.00,Food
2023-01-24,Target,€45.50,Shopping
2023-01-25,Shell Gas,  52.30  ,Transportation
2023-01-26,McDonald's,$3.99 ,Food
2023-01-27,Apple.com/bill,99.99 USD,Technology
2023-01-28,Café Résumé,$18.75,Food
2023-01-29,José's Tacos 🌮,25.50,Food
2023-01-30,H&M Store #4512,£67.80,Shopping
2023-01-31,,34.56,Unknown
2023-02-01,Netflix,,Entertainment
,Spotify,9.99,Entertainment
2023-01-31,CVS Pharmacy,$45.67,Health
2023-02-01,CVS/pharmacy,12.34,Health
2023-02-02,  WAL-MART  ,  $ 156.78  ,Shopping
2023-02-03,walmart.com,89.99,Shopping
2023-02-04,WALMART SUPERCENTER,$234.56,Shopping
2023-02-05,RENT PAYMENT,"$2,500.00",Housing
2023-02-06,Salary Deposit,"-$5,000.00",Income
02-07-2023,Delta Airlines,$450.00,Travel
2/8/23,Hilton Hotels,320.50,Travel
"February 9, 2023",Enterprise Rent-A-Car,$180.00,Transportation
2023-02-10,Chipotle Mexican Grill,$15.25,Food
2023-02-10,CHIPOTLE 2347,12.50,Food
2023-02-11,Chipotle,$18.00,Food
2023-02-12,Unknown Merchant ABC,67.89,
2023-02-13,THE REALLY LONG NAME MERCHANT STORE LOCATION 4512 TRANSACTION ID 889XYZ,$45.00,Shopping
2023-02-14,Restaurant Deluxe,($50.00),Food
2023-02-15,Gym Membership,45.00-,Health
